type,count_ecoindex,size_ecoindex,count_haralyzer,size_haralyzer
audio,0,0.0,0.0,0.0
css,5,24.403,5.0,24.403
font,2,72.424,,
html,1,30.474,1.0,
image,8,193.721,8.0,187.317
javascript,7,84.564,7.0,84.564
other,0,0.0,6.0,54.877
video,2,58.663,2.0,56.415
total,25,464.249,25.0,455.597
